Parameter;Type;Subtype;Calculated In;Description;Dependencies;Data type;Additional information
;;;;;;;
// Basic Model Parameters;;;;;;;
id;tec;Identifier;build_models_common.php;Unique identifier for a model;;Int;
name_id;tec;Identifier;build_models_common.php;Chart and time frame ID;;Int;id in DB chart_names table
bar_id;tec;Identifier;build_models_common.php;Main Reference Bar identifier (where the model is located);;Int;
Alg;calc;Classification;build_models_A1.php/build_models_A2.php;Algorithm number (1 or 2) that was used to identify the model;;Int: 1,2;
alt_old;calc;Classification;build_models_common.php;Old alternative model classification;;Int: 0 to 8;Depricated
alt;calc;Classification;build_models_common.php;Alternative model number (models with the same t4 but different properties);;Int: 0 to 8;Index 0  denotes base model 
_points;tec;Count;build_models_common.php;Model points count;;Includes list of points and their bar's numbers  in t#:# ,  t#:##, t#:###    , where t# - numbers of point and #, ##, ### -  bars numbers;The internal numbering begins from the bar of the main  reference point, which is the 1st (in Algorithm I) or 3rd (in Algorithm II) point of the model. The reference bar has the number 0. 
G1;calc;Classification;build_models_common.php;Primary model classification (EAM AM AM/DBM WEDGE etc.);;EM,DBM,AM,EAM,AM/DBM, EM/DBM,WEDGE, NA_7_2_2, NA_7_2_1_1;
v;tec;Direction;build_models_A1.php/build_models_A2.php;Direction of the model (high or low);;1,-1;The  index of model's direction (1 - is for ascending, -1 - is for descending)
;;;;;;;
// Models Reference Points;;;;;;;
_2;tec;Point;build_models_A1.php;Bar of the point confirming point 1 (atin);;Int;Bar of the point confirming point 1 (atin)
_3;tec;Point;build_models_A1.php;The previous extremum for point confirming point 2 (atin);;Int;The previous extremum for point confirming point 2 (atin)
t1;tec;Point;build_models_A1.php;Point 1 bar number (atin);;Int;
t2;tec;Point;build_models_A1.php/build_models_A2.php;Point 2 bar number (atin);;Int;
t2';tec;Point;build_models_A1.php;Point 2' bar number (atin);;Int;
t3;tec;Point;build_models_A1.php/build_models_A2.php;Point 3 bar number (atin);;Int;
t3-;tec;Point;build_models_A1.php;Former point 3 bar number (atin);;Int;This is a bar that was considered to be potential point 3, but later was rejected by  the algorithm
t3';tec;Point;build_models_A1.php/build_models_A2.php;Point 3' bar number (atin);;Int;
t3'??;tec;Point;build_models_A1.php;Point 3' of Auxialary Attraction Model bar number (atin);;Int;
t3'??5';tec;Point;build_models_A2.php;Point 3' for point 5' of Auxiliary Attraction Model bar number (atin);;Int;
t4;tec;Point;build_models_A1.php/build_models_A2.php;Point 4 bar number (atin);;Int;
t5;tec;Point;build_models_A1.php/build_models_A2.php;Point 5 bar number (atin);;Int;
t5';tec;Point;build_models_A1.php;Point 5' bar number (atin);;Int;
"t5""";tec;Point;build_models_A2.php;"Point 5"" bar number (atin)";;Int;
"t3""";tec;Point;build_models_A2.php;"Point 3"" bar number (atin)";;Int;
A2Prev;tec;Reference;build_models_A2.php;Algorithm 2 previous model Main reference bar number (atin);;Int;
;;;;;;;
// Additional Confirmation Parameters;;;;;;;
conf_t4;flag;Confirmation;build_models_common.php;Confirmation parameter for t4 point;;Int;the number of the bar confirming point 4 (atin)
;;;;;;;
// Presupposition Refrence Points;;;;;;;
t1p;tec;Preupposition;build_models_common.php;The bar number of the corresponding Presupposition point (atin);;Int;Needs check up, there is no data in DB
t2p;tec;Preupposition;build_models_common.php;The bar number of the corresponding Presupposition point (atin);;Int;Needs check up, there is no data in DB
t3p;tec;Preupposition;build_models_common.php;The bar number of the corresponding Presupposition point (atin);;Int;Needs check up, there is no data in DB
t4p;tec;Preupposition;build_models_common.php;The bar number of the corresponding Presupposition point (atin);;Int;Needs check up, there is no data in DB
confirmT1p;tec;Confirmation;build_models_common.php;Confirmation for t1 of Presupposition . The number of the bar containing the extremum confirming point 1 of Presupposition (atin);;Int;Needs check up, there is no data in DB
;;;;;;;
// Strength and Classification Parameters;;;;;;;
AUX;flag;Classification;build_models_A1.php/build_models_A2.php;Flag indicating if an auxiliary model exists;;AM, NoAM;
AimsBlock5';flag;Classification;build_models_A2.php;Flag inficating if the considered model's Aims block has a t5' point;;5', No5';
AUX5';flag;Classification;build_models_A2.php;Flag indicating if an auxiliary model with t5' exists;; AM5', NoAM5';
"EAM5""";flag;Classification;build_models_common.php;"If the model is an Alternative EAM model with t5"" or classic EAM with t5";;"NoEAMtl5"", EAMtl5""";
abs5;flag;Classification;build_models_common.php;If the model is built with t5 or t5' (for Algorithm I models);;5, 5';
SP;calc;Strength;build_models_common.php;Model strength parameter based on Pseudo Sacral Point;;weakpseudoST, undef;
_CT;calc;Intersection;build_models_common.php; CT (calculated target) coordinates;;;
SPc;calc;Strength;build_models_common.php;Model strength parameter based on SP (calculated target - CT);;Float;
EAMP3;calc;Classification;build_models_common.php;Parameter indicating whether EAM model is built with t3 or t3';;EAM3,EAM3',EAM3' out of Base;
auxP3;calc;Classification;build_models_common.php;Parameter for auxiliary model's t3 positioning;;3, 3', 3'aftrb;
P3;calc;Classification;build_models_common.php;Parameter indicating if  Algorithm I basic model uses t3 or t3';;3, 3';
G3;calc;Classification;build_models_A1.php/build_models_A2.php;"Classification parameter determining if model is ""trend"" or ""from trend start""";;BTModel, HTModel;
;;;;;;;
// Extension Parameters;;;;;;;
E1;flag;Classification;build_models_A1.php;Is EAM simple, or is it complex (built around the basic model);;EAMsimple, EAMplusEM;
E3;flag;Classification;build_models_common.php;Is the model specific or common according to the 1st check (part of the Algorithm II) ;;Specific 1st check, Regular 1st check;Needs check up, there is no data in DB
E4;flag;Classification;build_models_common.php;Is the model specific or common according to the 2nd check (part of the Algorithm II) ;;Specific 2nd check, Regular 2nd check;
E6;flag;Classification;build_models_common.php;Presence/absence of presupposition;;Pres, NoPres;
;;;;;;;
// Intersection Points;;;;;;;
_cross_point;tec;Intersection;build_models_common.php;Coordinates of intersection point;;Float(Float);
_cross_point2;tec;Intersection;build_models_common.php;Coordinates of secondary intersection point;;Float(Float);
_cross_p23;tec;Intersection;build_models_common.php;Coordinates of intersection between lines from points 2 and 3;;Float(Float);needs check up
;;;;;;;
// P6 Related Parameters;;;;;;;
calcP6;tec;Level;build_models_A1.php/build_models_A2.php;Calculated potential P6 level;;Float;
calcP6t;tec;Time;build_models_A1.php/build_models_A2.php;Bar number of the calculated potential 6th point (atin);;Int;
"calcP6""";tec;Level;build_models_A2.php;"Level of the calculated point 6""";;Float;
"calcP6""t";tec;Time;build_models_A2.php;"Bar number of the alternative calculated 6"" point (atin)";;Int;
auxP6;tec;Level;build_models_A1.php;Auxiliary model's calculated 6th point level;;Float;
auxP6t;tec;Time;build_models_A1.php;Bar number of the auxiliary model's calculated 6th point (atin);;Int;
auxP6';tec;Level;build_models_A1.php;Alternative auxiliary model's calculated 6th point level;;Float;
auxP6't;tec;Time;build_models_A1.php;Bar number of the alternative auxiliary model's calculated 6th point (atin);;Int;
;;;;;;;
// Percentage Parameters;;;;;;;
Par25prcnt;calc;Percentage;build_models_common.php;p2-p5 crosslevel precentage parameter value;;No6, %;Points 2 and 5 levels intersection
ParE;calc;Percentage;build_models_common.php;Percentage parameter E;;Float;Level p3-p5 to level p5-p6 ratio
;;;;;;;
// Level Distance Parameters;;;;;;;
lvl32'to2'6;calc;Distance;build_models_common.php;Level p2'-p3 to level p2'-p6 ratio for EAM, AM, DBM/AM;;Float;
lvl32'to2'6aux;calc;Distance;build_models_common.php;Level p2'-p3 to level p2'-p6 ratio for auxiliary models;;Float;
lvl34to46;calc;Distance;build_models_common.php;Level p3-p4 to level p4-p6 ratio for EAM, AM, DBM/AM;;NoAM, NoAM_INF, Float;
lvl34to46aux;calc;Distance;build_models_common.php;Level p3-p4 to level p4-p6 ratio for auxiliary models;;NoAM, NoAM_INF, Float;
lvl45to25;calc;Distance;build_models_common.php;Level p4-p5 to level p2-p5 ratio;;Float;
lvl23to45;calc;Distance;build_models_common.php;Level p3-p2 to level p4-p5 ratio;;Float;
lvl23#45;calc;Distance;build_models_common.php;Level p3#-p2 to level p4-p5 ratio;;Float;
lvl3#2'6;calc;Distance;build_models_common.php;Level p3#-p2 to level p2'-p6 ratio;;Float;
lvl3#46;calc;Distance;build_models_common.php;Level p3#-p4 to level p4-p6 ratio;;Float;
ll2'5to56;calc;Distance;build_models_common.php; [Distance in bars between p2'-p5] to [distance in bars between p5-P6 node] ratio for EAM, AM, DBM/AM;;NA, Float;
ll2'5to56aux;calc;Distance;build_models_common.php;[Distance in bars between p2'-p5] to [distance in bars between p5-AuxP6 node] ratio for auxiliary models;;NA, Float;
ll2'3#5;calc;Distance;build_models_common.php;[Distance in bars between p3#-p5] to [distance in bars between p2-p3#] ratio ;;Float;
ll2'3#56;calc;Distance;build_models_common.php;[Distance  in bars] between p5-P6 node] to [distance in bars between p2-p3#] ratio for EAM, AM, DBM/AM;;Float;
ll2'3#56aux;calc;Distance;build_models_common.php;[Distance in bars beween p5-AuxP6 node] to [distance in bars between p2-p3#] ratio for auxiliary models;;Float;
;;;;;;;
// System Parameters;;;;;;;
draw_flag;tec;Flag;build_models_common.php;Flag indicating if drawing is enabled;;1, NaN;If the model is not confirmed (point 4 is not confirmed)
fixed_at;tec;Fixed;build_models_common.php;Fixed time point;;Int;The bar at which the fixation took place - i.e. the model has been found, its points have been definitively determined (except point 6)
max_bar;tec;Maximum;build_models_common.php;Maximum bar number;;Int;The number of the last bar present on the chart (atin)
G1_sd;tec;Standard Deviation;build_models_common.php;Standard/deviant G1 defination ;;1, NaN;"1 is set for models for which G1 is defined in the ""defineG1"" function, and not in algorithm"
bad;calc;Flag;build_models_common.php;Flag indicating bad model state;;1,2,NaN;"If AUX is ""AM"" and lvl34to46aux or ll2'5to56aux are either ""NoAM_INF"" or over 11, ""bad"" is set to 1.
If G1 is in ['EAM', 'AM', 'AM/DBM'] and lvl34to46 or ll2'5to56 meet the same criteria, ""bad"" is set to 2. Otherwise, ""bad"" is 0."
pips;tec;Value;build_models_common.php;Pips value;;;pips value 
;;;;;;;
// Alternative P6 Distance Parameters;;;;;;;
"p5""lvlP6""";calc;Distance;build_models_common.php;"Distance by level (P6""-t5"")/(P6""-base level)";;;" (distance between levels  P6""-p.5"")/(P6"" - main reference point level)"
"p4lvlP6""";calc;Distance;build_models_common.php;"Distance by level (P6""-t4)/(P6""-base level)";;;" (distance between levels  P6""-p.4)/(P6"" - main reference point level)"
"p3_lvlP6""";calc;Distance;build_models_common.php;"Distance by level (P6""-t3'/t3)/(P6""-base level)";;;" (distance between levels P6""-p.3""  [p.3' or p.3])/(P6"" - main reference point level)"
"p2_lvlP6""";calc;Distance;build_models_common.php;"Distance by level (P6""-t2'/t2)/(P6""-base level)";;;"(distance between levels (P6""-p.2' [p.2])/(P6"" - main reference point level)"
"p1lvlP6""";calc;Distance;build_models_common.php;"Distance by level (P6""-t1)/(P6""-base level)";;;"(distance between P6""-p.1)/(P6"" - main reference point level)"
"p5""llP6""";calc;Distance;build_models_common.php;"Distance by time (P6""-t5"")/(P6""-base time)";;;"(number of bars between P6""-p.5"")/(P6"" - main reference point time)"
"p4llP6""";calc;Distance;build_models_common.php;"Distance by time (P6""-t4)/(P6""-base time)";;;"(number of bars between P6""-p.4)/(P6"" -  main reference point time)"
"p3_llP6""";calc;Distance;build_models_common.php;"Distance by time (P6""-t3'/t3)/(P6""-base time)";;;"(number of bars between P6""-p.3"" [p.3' or p.3)/(P6"" - bar of the reference point)"
"p2_llP6""";calc;Distance;build_models_common.php;"Distance by time (P6""-t2'/t2)/(P6""-base time)";;;"(number of bars between P6""-p.2' [p.2])/(P6"" - bar of the reference point)"
"p1llP6""";calc;Distance;build_models_common.php;"Distance by time (P6""-t1)/(P6""-base time)";;;"(number of bars between P6""- p.1)/(P6"" bar of the reference point)"
;;;;;;;
// Speed Parameters;;;;;;;
TLSpeedEAM;calc;Speed;inc_calc_controls.php;Speed parameter for trend line in EAM;;;The parameter measures the rate of change of the angle of the Trend Line relative to the difference between the level of P6 and t2 of EAM
SpeedEAM;calc;Speed;inc_calc_controls.php;General speed parameter for EAM;;;The parameter measures the ratio of the angle of the trend line (TL) to the angle of the aims line (AL) of EAM
"TLSpeedEAM5""";calc;Speed;inc_calc_controls.php;"Speed parameter for trend line in EAM with t5""";;;"The parameter measures the rate of change of the angle of the Trend Line relative to the difference between the level of P6"" and t2 of EAM"
"SpeedEAM5""";calc;Speed;inc_calc_controls.php;"General speed parameter for EAM with t5""";;;"The parameter measures the ratio of the angle of the trend line (TL) to the angle of the aims line (AL) of EAM with P6"""
TLSpeedAux;calc;Speed;inc_calc_controls.php;Speed parameter for trend line in auxiliary model;;;The parameter measures the rate of change of the angle of the Trend Line relative to the difference between the level of P6 and t2 of auxialary AM
SpeedAux;calc;Speed;inc_calc_controls.php;General speed parameter for auxiliary model;;;The parameter measures the ratio of the angle of the trend line (TL) to the angle of the aims line (AL) of auxialary AM
TLSpeedAux5';calc;Speed;inc_calc_controls.php;Speed parameter for trend line in auxiliary model with t5';;;The parameter measures the rate of change of the angle of the Trend Line relative to the difference between the level of P6' and t2 of auxialary AM
SpeedAux5';calc;Speed;inc_calc_controls.php;General speed parameter for auxiliary model with t5';;;The parameter measures the ratio of the angle of the trend line (TL) to the angle of the aims line (AL) of auxialary AM with P6'
TLSpeedMain;calc;Speed;inc_calc_controls.php;Main speed parameter for trend line;;;The parameter measures the rate of change of the angle of the Trend Line relative to the difference between the level of P6 and t2 of AM or AM/DBM
SpeedMain;calc;Speed;inc_calc_controls.php;Main general speed parameter;;;The parameter measures the ratio of the angle of the trend line (TL) to the angle of the aims line (AL) of AM or AM/DBM
;;;;;;;
// Size Parameters;;;;;;;
MainSize;calc;Size;inc_calc_controls.php;Model size in pips (for basic models);;;
MainSizeT;calc;Size;inc_calc_controls.php;Model size in bars (for basic models);;;
AuxSize;calc;Size;inc_calc_controls.php;Model size in pips (for auxialary models);;;
AuxSizeT;calc;Size;inc_calc_controls.php;Model size in bars (for  auxialary models);;;
AuxSize';calc;Size;inc_calc_controls.php;Model size in pips (for auxialary models built with 5');;;
AuxSizeT';calc;Size;inc_calc_controls.php;Model size in bars (for auxialary models built with 5');;;
EAMSize;calc;Size;inc_calc_controls.php;Model size in pips (for EAM models);;;
EAMSizeT;calc;Size;inc_calc_controls.php;Model size in bars (for  EAM models);;;
"EAMSize""";calc;Size;inc_calc_controls.php;"Model size in pips (for EAM models built with 5"")";;;
"EAMSizeT""";calc;Size;inc_calc_controls.php;"Model size in bars (for  EAM models built with 5"")";;;
;;;;;;;
// Excessive Lines Points Parameters;;;;;;;
TLexs13';calc;Excess;build_models_common.php;Trend line excess between t1 and t3' ;;clear, cls, exs;reaching the bar start level (BSL) on the TL in the section 1-3(3') of the main model
TLexs3'4;calc;Excess;build_models_common.php;Trend line excess between t3' and t4 ;;clear, cls, exs;reaching the BSL by the bar on TL 3(3')-4 of the main model
ALexs12';calc;Excess;build_models_common.php;Aim line excess between t1 and t2';;clear, cls, exs;achieving BSL on AL of the main model on 1-2(2') section
ALexs2'4;calc;Excess;build_models_common.php;Aim line excess between t2' and t4;;clear, cls, exs;achieving BSL on AL of the main model on 2(2')-4 section
auxTLexs;calc;Excess;build_models_common.php;Auxiliary trend line excess;;clear, cls, exs;achieving BSL on TL of the auxiliary AM on 3-5 section
auxALexs;calc;Excess;build_models_common.php;Auxiliary aim line excess;;clear, cls, exs;achieving BSL on AL of auxiliary AM (before p5)
;;;;;;;
// Approximation Parameters;;;;;;;
_llapprP6;calc;Pre-control;inc_calc_controls.php;[Approach P6 bar - Preapproach bar] /Timesize;;;"On the segment starting from 
[the bar that confirmed t4] (i.e., from the bar that crossed the t4 level) looking for 
[bar that has reached the Extended Approach Level of the P6] (default = 15%, LVL_PREAPPROACH in inc_calc_controls) . 
Next value ""A"" is calculated - the number of bars from 
[the moment the Extended Approach Level of P6 is reached] (only bars are taken into account, starting with the bar that confirmed t4, which is in the ""models"" table in the conf_t4 column) to
[the moment of reaching the Approzch Level of P6]. 
!! - exception: if the Extended level of the approach of the P6 lies further away from P6 than the t4 level, then ""A"" is considered from the bar that confirmed t4 
Then Timesize is calculated - the size of the AM in time, i.e. the distance in bars from t2' to the node of calculated P6 bar. 
The A/Timesize formula is used to calculate the parameter."
"_llapprP6""";calc;Pre-control;inc_calc_controls.php;[Approach P6' bar - Preapproach bar] /Timesize;;; 
_llapprAuxP6;calc;Pre-control;inc_calc_controls.php;[Approach AuxP6 bar - Preapproach bar] /Timesize;;;
_llapprAuxP6';calc;Pre-control;inc_calc_controls.php;[Approach AuxP6' bar - Preapproach bar] /Timesize;;;
_lvlapprP6;calc;Pre-control;inc_calc_controls.php;"Hasten RP6"" chec. Section [LVL_PREAPPROACH] - [APPROACH] check for LVL_BUMPER and U-turn aims achievmed before [APPROACH] is achieved. ";;;"The parameter indicates whether the [Bumper Level] (LVL_BUMPER2 = 15%* or LVL_BUMPER1=20%) and [U-turn goal levels] were reached after (i.e. not including) the [bar that reaches the Extended level of Approach of the P6] before the [bar for reaching the Level of Approach to the P6]. 
 
 If  Bumper Level or  levels of the U-turn goals were not reached  after the Extended Approach Level of P6 was, then the parameter is set to 0 (zero). If any of these levels were reached reached before Bumper Level, then the  parameter is set to furthest from the calculated P6 achieved level. 

* - with LVL_PREAPPROACH =15%, the Bumper Level value = 15% (since LVL_BUMPER2 = 15%) in _lvlapprP6, etc. will not make sense. It is logical to enter the Bumper Level in _lvlapprP6, etc. only when the Bumper Level is 20% (i.e. LVL_BUMPER1=20%, or when LVL_PREAPPROACH is replaced by level of  t4. If LVL_PREAPPROACH is set to 20%-29%, then the value of the Bumper Level will not fall into this parameter at all (again, except for in the case of using level t4)."
"_lvlapprP6""";calc;Pre-control;inc_calc_controls.php;Hasten RAuxP6 chec. Section [LVL_PREAPPROACH] - [APPROACH] check for LVL_BUMPER and U-turn aims achievmed before [APPROACH] is achieved. ;;;
_lvlapprAuxP6;calc;Pre-control;inc_calc_controls.php;Hasten RAuxP6' chec. Section [LVL_PREAPPROACH] - [APPROACH] check for LVL_BUMPER and U-turn aims achievmed before [APPROACH] is achieved. ;;;
_lvlapprAuxP6';calc;Pre-control;inc_calc_controls.php;Hasten RP6 chec. Section [LVL_PREAPPROACH] - [APPROACH] check for LVL_BUMPER and U-turn aims achievmed before [APPROACH] is achieved. ;;;
_ll25apprP6;calc;Pre-control;calc_controls.php;P6 time approximation from t5  to time between t2 and t5;;Float;Number of bars from point 5 to the bar that reached  Approach Level of P6  divided by the number of bars from point 2 to point 5 
"_ll25apprP6""";calc;Pre-control;calc_controls.php;"P6"" time approximation from t5 in relationship to time between t2 and t5 ";;Float;"Number of bars from point 5 to the bar that reached  Approach Level of P6"", divided by the number of bars from point 2 to point 5"
_ll25apprAuxP6;calc;Pre-control;calc_controls.php;Auxiliary P6 time approximation between t2 and t5;;Float;Number of bars from point 5 to the number of the bar that reached  Approach Level of AuxP6, divided by the number of bars from point 2 to point 5
_ll25apprAuxP6';calc;Pre-control;calc_controls.php;Auxiliary P6' time approximation between t2 and t5 ;;Float;Number of bars  from point 5 to the node bar that reached  Approach Level of AuxP6' , divided by the number of bars from point 2 to point 5
_ll4apprP6;calc;Pre-control;inc_calc_controls.php;P6 time approximation from preapproach to time betweeen t2 and t4;;;"The value A is calculated - the number of bars from 
[the moment of reaching the level of the Extended Approach level of P6 (default = 15%)] to
[the moment of reaching the Approach Level.]
Value B is calculated - the distance in bars from t2  to t4. 
Using the formula A/B, the parameter corresponding to the type of model under consideration is calculated. "
"_ll4apprP6""";calc;Pre-control;inc_calc_controls.php;"P6"" time approximation from preapproach to time betweeen t2 and t4";;;
_ll4apprAuxP6;calc;Pre-control;inc_calc_controls.php;P6 time approximation from preapproach to time betweeen t2 and t4;;;
_ll4apprAuxP6';calc;Pre-control;inc_calc_controls.php;P6'  time approximation from preapproach to time betweeen t2 and t4;;;
;;;;;;;
// Before/after node bar Approximation Parameters;;Pre-control;;;;;
_llapprP6ba;flag;Pre-control;inc_calc_controls.php;P6 level approximation relative to P6 node time;;;if the approach level to the P6 is reached before the time of the P6 node bar,  this parameter value is set to 0, otherwise it's set to 1.
"_llapprP6""ba";flag;Pre-control;inc_calc_controls.php;"P6"" level approximation relative to P6"" node time";;;
_llapprAuxP6ba;flag;Pre-control;inc_calc_controls.php; P6 level approximation relative to AuxP6 node time;;;
_llapprAuxP6'ba;flag;Pre-control;inc_calc_controls.php;P6' level approximation relative to AuxP6' node time;;;
_lvlapprP6half;calc;Early pre-control;inc_calc_controls.php;P6 half-time approximation to it's Pricesize;;;"The point X is calculated as the midpoint of the time segment from the confirmation point t4 to the P6 node bar.
In this case, if the point X is between 2 bars, it is rounded. 

For ascending models, the high of the bar is determined at point X. The ratio is calculated by deviding 
[the high price level in moment X is the level of  t3/or t1 in the case of AM]
by the size of the model by levels.

If the bar on which point X is located coincides with the bar that touches the Approach level to P6, or is located later than this bar, the parameter is not calculated. 
If the X bar has not appeared yet, then the parameter is not calculated."
"_lvlapprP6""half";calc;Early pre-control;inc_calc_controls.php;"P6"" half-time approximation to it's Pricesize";;;
_lvlapprAuxP6half;calc;Early pre-control;inc_calc_controls.php;P6 half-time approximation to it's Pricesize;;;
_lvlapprAuxP6'half;calc;Early pre-control;inc_calc_controls.php;P6' half-time approximation to it's Pricesize;;;
_llapprP6halfba;flag;Early pre-control;inc_calc_controls.php;P6 level hasten approximation to P6 node half-time ;;0,1;"The moment X is defined as the midpoint in time between the confirmation of point 4[conf_t4] and the node of P6. 
If X is between two bars, its value is rounded. (rounding to 2 digits). 
If the Approach Level of P6 [APPROACH] is reached before or during X, the parameter's value is 1.
Otherwise it is 0. 
If there is no X on the NEXT bar, the parameter value is assumed to be 1.
When approach is reached, the parameter's value becomes fixed."
"_llapprP6""halfba";flag;Early pre-control;inc_calc_controls.php;"P6 level hasten approximation to P6"" node half-time ";;0,1;
_llapprAuxP6halfba;flag;Early pre-control;inc_calc_controls.php;P6 level hasten approximation to auxiliary P6 node half-time ;;0,1;
